gene	mean	median	longest_isoform	merged
POGLUT1	3578	3578	3650	3650
ARHGEF10L	4420	4261	5372	5588
LINC01654	2470	2470	2470	2470
OR52A1	939	939	939	939
TMEM30A	4363	4363	4417	4417
CCDC25	3503	3523	3627	3627
MTX1	1601	1601	1648	1648
CTNNAL1	2472	2472	2491	2491
TNFSF14	4547	4487	4778	4780
URI1	3122	3425	3460	3558
LACC1	3970	3983	4369	4727
MIR4695	74	74	74	74
POLR1B	7458	7491	7785	8123
RPL13A	1133	1126	1170	1180
RGS17	7932	7932	7932	7932
RNF157	5021	5021	5054	5054
RAPGEF2	7100	6980	7780	8822
NUP62	3270	3238	3393	3393
EMC1-AS1	556	556	622	939
TIAM1	6829	7281	7647	8808
RIMS2	8318	8542	9375	10815
AKR7L	2296	2362	2362	2362
LOC100506730	2490	2490	2490	2490
VPS26B	3661	3661	3661	3661
CCNY	4815	4769	5067	5448
TMEM252	1259	1259	1259	1259
GIMAP7	1214	1214	1214	1214
ZEB1-AS1	1789	2195	2568	3659
LOC105378614	207	207	207	207
MICOS10	3815	3802	3964	4231
POMC	1236	1182	1456	1486
PON3	1191	1191	1191	1191
NEK10	2743	2351	4201	4630
CD53	1489	1505	1572	1628
RPS14P3	838	838	838	838
PARD3B	8318	8295	8492	8492
MROH8	2498	2065	3471	3682
PPP2R2B	3955	2152	11223	12365
TMCO4	3133	3070	3445	5579
SURF1	1041	1041	1091	1091
TPSAB1	1166	1166	1166	1166
DYNC1I2	4293	4293	4354	4527
TMEM45B	1964	1908	2205	2584
SRPK2	3736	3755	3858	4355
MYO1A	3862	3862	4091	4114
UBXN10-AS1	509	509	509	509
LINC01757	479	479	479	479
OSBPL9	3627	3615	3844	4262
ANKLE1	2828	2851	2962	2962
LINC01141	3783	3783	3783	3783
CASP3	2557	2552	2744	2865
IL17RC	2390	2353	2622	2857
MIR6084	110	110	110	110
PINK1-AS	4443	4443	4443	4443
SLC25A5	1307	1307	1307	1307
SLC25A4	4415	4415	4415	4415
ANK2	8033	8129	14215	16708
SPN	7278	7278	7309	7379
RANGAP1	4104	3963	4523	4860
TLE1	4122	4135	4153	4165
DPYS	2122	2122	2122	2122
IL18R1	3507	3901	4149	4565
ZFP36L1	3122	3154	3196	4040
EFR3A	5705	5499	6507	6854
GSDMB	1600	1599	1653	1809
GPBP1	4293	4503	4698	4719
SLC28A1	2201	2197	2770	3676
FCAMR	2110	1981	2618	2783
THOC2	5599	5599	5599	5599
MIR1256	119	119	119	119
DGKB	6752	6823	7212	8393
RGMA	7194	7181	11359	12143
CCT7	1758	1817	2032	2032
NTRK3	9348	3845	19976	22717
ABHD6	2311	2311	2425	2490
KLHL38	3259	3259	3259	3259
TIMM17A	1650	1650	1650	1650
IFI30	988	988	988	988
SPATA18	4252	4277	4480	4480
MEF2C	6295	6045	7473	8880
FXYD1	644	655	691	1117
SHOC2	3760	3904	4132	4204
EMID1	2125	2125	2128	2128
PBK	1808	1811	1836	1869
SURF6	4217	4234	4235	4239
BSDC1	3567	3334	5152	5261
XRN2	3511	3511	3615	3758
DFFB	2941	2938	3114	3559
GYG2	3203	3192	3395	3395
GEMIN5	5402	5402	5403	5408
LSM4	1683	1683	1704	1704
UTY	6180	6277	6872	8610
ARHGAP28	4585	5479	5855	6196
PPFIA2	5273	5534	5674	6548
ARPC1A	1593	1593	1605	1607
TIA1	3980	4667	4952	5636
EIF4H	2533	2533	2563	2563
UBE2C	691	699	920	1297
ITFG2	2436	2320	2674	4288
IFT88	2906	2863	3302	3569
HERC3	4605	4885	5026	6539
B4GALT3	2230	2344	2415	2415
PTPRF	7164	6907	7722	8033
CASP12	1492	1549	1783	1783
CPZ	2315	2244	2540	2540
TCF3	4120	4559	4735	4962
NEU1	3353	3353	3353	3353
GCM1	2779	2779	2779	2779
BCAS1	3235	3243	3477	3658
DCTD	2337	2171	2696	2895
FTL	871	871	871	871
PHLDA2	920	920	920	920
GLMN	1981	1990	2006	2032
LINC01635	698	698	698	698
PAX6	6749	6826	8177	11239
SENP1	4846	4902	5125	5191
FDPS	1320	1240	1528	1647
MIR4418	62	62	62	62
SNRPN	1868	1860	2147	3194
SLC25A45	2256	2206	3091	3287
PLEKHO1	2067	2081	2114	2793
PTEN	8552	8515	8629	8674
ZBTB40	8687	8701	8992	8992
ZNF25	4430	4378	4823	5198
MIR6127	109	109	109	109
PDE4D	7077	8083	8822	16450
ARHGAP9	2174	1993	2917	3480
MATK	2011	2062	2098	2498
CALD1	4401	4282	5011	5285
WDFY2	9369	9369	9369	9369
SLC24A4	9727	9745	9789	9901
CYSLTR1	2730	2726	2779	2919
OLFML2B	3774	3774	3777	3777
RNF19A	4549	4278	5773	6217
MIR4684	82	82	82	82
MIR4253	68	68	68	68
RD3L	1422	1422	1422	1422
DPY19L3	5997	5997	6016	6156
LTB4R	3508	3508	4314	4617
MAPK8	5883	5877	6076	6186
CYFIP1	6720	6835	7025	7985
HMBOX1	3773	3780	3926	4639
MIR3115	68	68	68	68
THAP12	3453	3453	3489	3584
PPP2R2C	4312	4319	4523	5352
SLC19A1	4680	4938	4995	5558
ST7	2234	2227	2725	3994
RSPH10B	3106	3106	3106	6212
ZNF436-AS1	1779	1779	2867	2867
SLC44A1	7514	9611	10482	10763
NDRG2	2133	2058	2890	3876
PSME3IP1	3239	3165	4074	4715
KNG1	2758	2093	4198	4198
BCL2L11	4534	4956	5231	6212
ZNF430	3881	3881	3883	3883
ZC3H11A	5212	5013	6130	6322
LOC101928163	1212	1212	1212	1212
RIMS1	5265	5435	7829	10878
MICU1	2295	2423	2501	2686
RNF215	2011	2011	2011	2011
USP17L12	1593	1593	1593	3186
ELOA-AS1	1084	1084	1084	1084
SBF1	7979	7979	8017	8020
AKAP1	4057	4006	4400	5076
TAP1	2569	2569	2952	3119
MIR378F	78	78	78	78
TPRA1	3805	3762	4233	4935
TSPY4	1132	1133	1133	3398
RBM4	1901	1698	2998	4222
MMP23B	1248	1248	1248	1248
NUDT6	1179	1179	1227	1395
ZFP28	3796	3796	4093	6623
SMS	1691	1691	1703	1839
EFHB	2611	2611	2858	3117
KLHL23	4081	4081	4081	4081
WNT5B	2211	2211	2238	2326
SLC6A15	4460	4322	4799	7838
GIT1	3796	3796	3810	3810
FAM114A2	4514	4437	4978	4978
LCE3A	270	270	270	270
STPG1	2746	2765	2860	3057
DLG2	7810	7729	9432	11563
NIPAL3	4980	5334	5706	7447
VEPH1	2796	2900	4312	5249
NFASC	7906	9943	10334	11059
RCAN3AS	458	463	530	530
PTPRN	3551	3525	3612	3701
PCYT2	5180	5142	5515	5702
ZDHHC15	4147	5578	6016	6527
SP110	2642	2301	4013	4645
NRG2	3882	3919	3943	4004
MIR4436B1	91	91	91	182
ZNF277	2580	2580	2580	2580
AK7	3269	3214	3561	3630
RBL2	4727	4707	4854	4980
DNAH14	3760	1971	14065	16024
CAMK2D	5265	5680	5820	7038
ACIN1	3924	4817	4937	5142
KDM6A	5725	5671	6094	6107
COA1	1812	1193	4647	6583
LOC100505841	441	441	441	441
AKAP17A	3232	3232	3267	3267
RDH13	2080	2043	2364	2680
SH2B3	4957	4957	5431	5597
GLRB	2946	3033	3041	3214
TCF12	5534	6037	6262	7662
BZW1	5333	6407	6536	7112
TOP3B	3199	2996	3848	4335
TBC1D3D	2065	2065	2065	4130
SUGP2	4853	4294	6304	6445
TMTC4	3814	3873	4083	4278
CT45A8	1009	1009	1009	1009
EXOC6B	5818	5817	5963	5963
RABEP1	4607	5794	5908	6111
TTC26	3863	4206	4460	4874
ABCC6	3931	4929	5148	5579
SLC26A5	2325	2434	2718	2915
KCNJ16	4069	4065	4192	4505
ZNF2	3515	3510	3621	3621
NPHP4	4892	4800	5502	5505
MTRR	3297	3240	4086	4401
TCP11	1766	1791	2135	2673
FAM92A	4284	4284	4460	4786
COMMD4P1	3707	3707	3707	3707
TBILA	1937	1937	1937	1937
SH2D4A	3215	3258	3318	3503
TOM1	2282	2278	2392	2525
UBXN2B	3942	4902	5062	5317
TIMM23B-AGAP6	3191	3154	3617	3687
SLC25A39	1621	1616	1783	1851
DYNLT1	708	709	729	729
ZNF385B	3040	3227	3531	5810
MIR6731	72	72	72	72
MIR4425	84	84	84	84
GLUD1	3325	3300	3653	3868
NEPRO	4600	4615	4819	4823
RSRP1	2683	2822	4022	7103
CELF4	3750	3782	3979	5791
IRAK4	4312	4293	4771	4984
PTK2	4791	4945	5461	6903
ARIH2	4579	4958	5323	6743
C15orf41	2549	2693	2886	3324
NXPE3	8623	8631	8820	8843
LEP	3427	3427	3427	3427
RGS22	4190	4191	4227	4561
TDRKH	2651	2748	2816	3260
CAMSAP3	4177	4177	4218	4218
MTFR1L	2002	2005	2103	2403
LOC646471	3653	3653	3653	3653
RASSF5	3719	3682	3798	4328
ODF2	3426	3805	4149	5018
MAPK8IP2	5697	5697	5697	5697
NOP9	5962	5962	6045	6045
ZNF419	3382	3654	3745	3761
MIR3917	93	93	93	93
QRICH1	3425	3484	3619	4016
RPUSD2	2149	2149	2365	2371
C1orf232	555	555	644	762
PREPL	6105	6049	6892	7375
KIAA1211L	3873	3873	3873	3873
GATC	4286	4286	4335	4335
NBAS	7180	7180	7278	7278
SQLE	2962	2962	2962	2962
FKBP2	639	632	832	1209
FBXL20	10343	10343	10450	10716
TFPI	3015	3874	4012	4307
RCE1	1460	1460	1462	1462
IYD	8677	8683	8795	8795
DUOXA1	2055	2006	3035	3291
